rec1 rec2
2 395
3 4450
3 10
3 1561
3 5655
3 3419
3 4204
3 3554
3 2861
4 293
5 411
7 406
9 99
11 79
11 50
14 107
15 119
16 17
16 3286
16 8477
17 6756
17 9279
17 8307
17 7116
17 3286
17 4826
17 8457
17 9619
17 8527
17 5766
17 6056
17 4876
17 1876
17 8978
17 8687
17 1966
17 3576
17 9299
17 8477
17 7286
17 6066
17 5946
17 3596
17 2336
18 236
20 447
23 378
24 25
26 164
27 452
28 138
29 414
30 219
33 103
34 35
36 306
37 40
38 5704
39 1594
39 7995
39 3294
39 5594
39 1094
39 9297
39 2294
39 5894
39 41
39 9597
39 8295
39 8195
39 4794
39 321
39 7294
39 4494
39 1054
39 7244
43 165
43 1836
43 5861
45 431
47 292
49 91
50 79
51 213
52 214
53 96
53 124
54 342
55 433
56 70
56 8767
57 77
58 281
58 90
58 255
59 186
59 78
61 331
61 189
62 174
68 409
69 295
70 8767
71 191
73 113
74 230
74 351
75 116
75 106
76 211
78 186
80 2693
80 260
81 115
81 3423
82 360
83 345
84 345
85 228
86 176
87 146
87 144
88 354
89 271
90 308
90 281
90 255
94 413
95 164
96 124
97 270
98 108
100 162
102 148
104 105
106 116
109 441
111 276
112 3530
112 7871
112 8531
112 4774
112 8357
112 2436
112 5712
112 3585
112 1194
112 8368
112 3580
112 8511
112 9689
112 2223
112 7729
112 9730
112 9663
112 4657
112 6181
112 6134
112 8525
112 9641
112 9628
112 9620
112 9472
112 9470
112 6102
112 5924
112 957
112 9735
112 4180
112 2604
112 2193
112 9687
112 7186
112 6652
112 4843
112 2711
112 9509
112 3256
112 9757
112 9179
112 8990
112 7047
112 4121
112 196
112 4166
112 8326
112 9467
112 8432
112 4218
112 3203
112 2616
112 9658
112 2293
112 3484
112 2226
112 8487
112 9533
112 2423
112 7041
114 3487
117 435
120 127
121 428
122 241
123 475
125 220
126 254
126 5988
128 5554
128 3554
128 9056
128 9257
128 4354
128 315
131 329
132 159
133 404
134 135
136 288
136 449
136 195
138 7214
139 323
139 383
140 187
141 439
142 261
143 375
144 146
148 301
150 377
154 5372
157 374
158 327
160 365
161 386
163 453
165 1633
165 476
166 445
167 6065
167 6048
167 341
167 6249
167 5343
167 2256
167 3640
167 7244
167 4808
168 289
168 332
175 334
175 291
178 249
180 193
181 366
182 407
183 7294
183 1594
183 321
183 7995
183 5594
183 1094
183 8295
183 9297
183 4494
183 2294
183 3294
183 5894
183 4794
183 9196
183 9597
184 185
184 7395
189 331
190 3576
190 3396
190 4396
190 8307
190 4826
190 8457
190 9619
190 8527
190 5766
190 596
190 5996
190 6056
190 4876
190 275
190 1876
190 8978
190 8687
190 1966
190 9299
190 7286
190 6066
190 5946
190 3596
190 2336
191 278
192 392
194 338
195 449
195 288
197 335
199 262
200 382
201 283
201 368
202 250
204 451
204 440
204 286
204 297
204 272
206 1106
206 389
207 208
209 279
209 429
210 245
215 2410
216 363
217 268
217 234
217 232
218 252
221 7229
221 5540
221 233
221 6387
221 4943
221 7371
222 463
223 391
225 3576
225 8687
225 379
225 8307
225 4826
225 8457
225 9619
225 8527
225 5766
225 6056
225 4876
225 1876
225 8978
225 1966
225 9299
225 7286
225 4416
225 6066
225 5946
225 3596
225 2336
227 305
230 351
231 337
232 234
233 7229
233 5540
233 423
233 7371
233 6387
234 268
235 253
238 3424
239 314
240 277
242 333
243 9631
243 4628
243 2128
243 4328
243 2928
243 7729
243 5128
243 2528
243 280
243 6128
243 8729
246 442
247 248
251 6065
251 6048
251 341
251 6249
251 5343
251 3640
251 7244
251 4808
251 2256
255 308
255 281
255 2664
258 362
259 362
264 444
265 422
265 296
269 7294
269 1594
269 321
269 7995
269 5594
269 5954
269 1094
269 8295
269 9297
269 2294
269 3294
269 5894
269 4794
269 9196
269 9597
269 4494
272 2404
272 451
272 440
272 286
273 438
274 356
275 9749
279 429
281 308
283 381
286 440
286 297
286 451
287 7522
287 5561
287 6716
287 424
288 449
289 326
290 390
291 334
296 422
297 451
297 440
298 304
298 310
304 3002
304 2802
304 4000
304 2587
304 5151
304 4055
304 4822
306 4391
309 355
312 388
313 361
313 344
315 5554
315 3554
315 9056
315 9257
315 5954
318 319
320 394
321 7294
321 1594
321 7995
321 5594
321 1094
321 8295
321 9297
321 4494
321 2294
321 3294
321 5894
321 4794
321 9196
321 9597
323 9164
323 383
324 430
326 4457
340 7270
340 372
344 361
346 447
349 432
350 4524
350 6480
350 364
353 371
357 380
364 4524
364 6480
364 5795
368 381
370 468
372 6888
372 525
374 944
375 3576
375 6366
375 8307
375 4826
375 8457
375 9619
375 8527
375 5766
375 6056
375 4876
375 1876
375 8978
375 8687
375 1966
375 9299
375 7286
375 2366
375 6066
375 5946
375 2336
375 4166
379 3576
379 8687
379 8307
379 4826
379 8457
379 9619
379 8527
379 5766
379 6056
379 4876
379 1876
379 8978
379 1966
379 9299
379 7286
379 4416
379 6066
379 5946
379 3596
379 2336
383 6065
393 3487
397 400
399 403
408 426
410 415
417 5417
418 419
425 446
436 3646
436 8347
436 2646
436 9649
436 9749
436 6946
437 6548
440 2404
440 451
443 450
457 458
459 460
462 470
463 2314
464 465
468 9436
468 5464
476 1836
476 5861
484 9467
484 9658
484 9620
484 9735
484 3530
484 8531
484 8326
484 8357
484 2436
484 8511
484 9730
484 9509
484 9663
484 9689
484 8525
484 2223
484 9687
484 3580
484 3585
484 4657
484 7729
484 4774
484 4180
484 7871
487 3300
494 7294
494 1594
494 7995
494 5594
494 1094
494 8295
494 1698
494 9297
494 4494
494 6624
494 5894
494 4794
494 9196
494 3294
494 2294
517 3617
525 6888
530 7531
530 1530
546 3646
546 8347
546 2646
546 9649
546 9749
546 6946
546 5946
556 3286
556 8477
566 2566
580 2353
580 3577
580 6636
580 8131
580 6015
580 2609
580 999
580 3272
580 7329
580 9283
580 957
580 4950
583 3248
584 6284
623 9467
623 9658
623 9620
623 9735
623 3530
623 8531
623 7871
623 8326
623 8357
623 2436
623 8511
623 9509
623 4657
623 9663
623 2955
623 9689
623 8525
623 2223
623 9687
623 3580
623 3585
623 4774
623 7729
623 9730
636 3576
636 8307
636 4826
636 8457
636 9619
636 8527
636 5766
636 6056
636 4876
636 1876
636 8978
636 8687
636 1966
636 9299
636 7286
636 6066
636 5946
636 3596
636 2336
643 9210
651 9735
651 9470
651 9689
651 8357
651 2436
651 9509
651 2223
651 3580
651 9687
651 7871
651 4774
651 7729
651 4166
651 9467
651 9730
651 9663
651 8990
651 3256
651 2293
651 6134
651 9641
651 9628
651 9620
651 9533
651 3585
651 2226
651 2423
651 9472
651 8487
651 4843
651 8432
651 5925
651 8368
651 7186
651 2193
651 8326
651 4180
651 6181
651 7047
651 9658
651 5712
651 2616
651 8525
651 3530
651 4121
651 6652
651 5924
651 2711
651 4657
651 4218
651 957
651 6102
651 1194
651 7041
651 8511
651 3203
651 2604
651 9179
659 3099
659 2033
659 6913
664 4817
672 4642
673 698
684 9627
684 8567
690 4348
692 6377
716 3576
