rec1 rec2
1 628
1 428
1 205
1 418
1 197
1 621
1 619
1 408
1 405
1 9
1 483
1 488
1 291
1 485
1 861
1 486
1 289
1 295
1 293
1 277
1 474
1 87
1 284
1 678
1 578
1 855
1 264
1 361
1 246
1 443
1 353
1 61
1 352
1 47
1 241
1 263
1 457
1 639
1 131
1 250
1 838
1 444
1 423
1 226
1 355
1 676
1 261
1 71
1 262
1 459
1 271
1 157
1 693
1 113
1 407
1 19
1 230
1 274
1 566
1 93
1 2
1 266
1 31
1 103
1 417
1 811
1 35
2 32
2 154
2 753
2 146
2 746
2 148
2 747
2 126
3 725
3 752
4 60
4 118
5 234
5 10
5 240
5 782
5 18
5 689
5 41
5 34
5 152
5 834
5 268
5 42
5 845
5 254
5 652
5 200
5 206
5 6
5 696
5 17
5 14
5 233
5 670
5 33
5 220
5 13
5 228
5 245
6 689
6 782
6 234
6 42
6 254
6 652
6 41
6 206
6 18
6 17
6 152
6 14
6 233
6 200
6 670
6 268
6 33
6 240
6 220
6 13
6 228
6 10
6 245
6 834
6 696
6 34
7 258
7 8
8 196
9 428
9 418
9 621
9 103
9 619
9 408
9 407
9 861
9 405
9 71
9 483
9 687
9 293
9 93
9 488
9 291
9 485
9 486
9 289
9 295
9 277
9 474
9 855
9 264
9 361
9 87
9 284
9 678
9 676
9 61
9 352
9 566
9 262
9 459
9 47
9 241
9 639
9 131
9 250
9 838
9 444
9 246
9 443
9 355
9 693
9 628
9 205
9 578
9 230
9 353
9 274
9 271
9 263
9 657
9 235
9 197
9 31
9 266
9 219
9 417
9 811
9 35
9 423
9 226
9 113
9 19
9 261
9 157
9 457
10 17
10 14
10 152
10 655
10 228
10 42
10 254
10 845
10 234
10 240
10 696
10 200
10 34
10 33
10 782
10 13
10 18
10 689
10 245
10 834
10 268
10 233
10 41
10 670
10 206
10 652
11 12
12 649
12 706
13 240
13 782
13 18
13 689
13 41
13 34
13 234
13 152
13 834
13 268
13 42
13 17
13 696
13 652
13 206
13 228
13 254
13 655
13 33
13 14
13 245
13 220
13 670
14 240
14 782
14 18
14 689
14 41
14 34
14 234
14 152
14 834
14 268
14 42
14 17
14 696
14 652
14 206
14 228
14 254
14 655
14 33
14 245
14 220
14 670
16 214
16 210
16 62
17 782
17 42
17 254
17 152
17 834
17 696
17 240
17 233
17 200
17 670
17 268
17 33
17 228
17 34
17 655
17 652
17 41
17 206
17 18
18 782
18 42
18 254
18 152
18 834
18 696
18 240
18 233
18 200
18 670
18 268
18 33
18 228
18 34
18 655
18 652
18 41
18 206
19 725
19 619
19 93
19 606
19 291
19 485
19 861
19 486
19 590
19 277
19 87
19 284
19 678
19 855
19 246
19 61
19 47
19 438
19 241
19 657
19 263
19 639
19 250
19 261
19 113
19 274
19 71
19 262
19 271
19 31
19 266
19 35
19 566
19 693
19 235
19 374
21 280
21 45
21 282
23 37
23 258
23 24
24 82
24 80
24 184
24 90
24 735
24 86
25 243
25 258
26 140
27 269
27 231
27 536
27 270
27 39
27 252
27 232
27 278
27 259
27 28
27 225
27 281
28 269
28 231
28 536
28 270
28 39
28 252
28 232
28 278
28 547
28 225
28 259
29 30
31 428
31 418
31 621
31 103
31 619
31 408
31 407
31 861
31 405
31 483
31 687
31 293
31 93
31 488
31 291
31 485
31 486
31 289
31 295
31 277
31 474
31 855
31 264
31 361
31 87
31 284
31 678
31 676
31 61
31 352
31 566
31 71
31 262
31 459
31 47
31 241
31 639
31 131
31 250
31 838
31 444
31 246
31 443
31 355
31 693
31 628
31 205
31 578
31 271
31 230
31 274
31 353
31 157
31 457
31 657
31 263
31 266
31 219
31 417
31 811
31 35
31 423
31 226
31 113
31 261
31 235
31 197
32 753
32 821
32 154
32 146
32 746
32 148
32 747
32 126
33 240
33 782
33 41
33 34
33 234
33 152
33 268
33 42
33 696
33 652
33 228
33 254
33 245
33 670
34 240
34 782
34 41
34 234
34 152
34 268
34 42
34 696
34 652
34 228
34 254
34 245
34 670
35 687
35 277
35 855
35 284
35 262
35 639
35 250
35 838
35 246
35 628
35 205
35 578
35 274
35 271
35 657
35 263
35 261
35 266
35 235
35 197
35 226
36 827
36 814
37 243
37 258
37 38
38 100
38 78
38 156
38 791
39 231
39 270
39 40
39 252
39 232
39 278
39 225
39 259
41 240
41 782
41 689
41 234
41 152
41 834
41 268
41 42
41 696
41 200
41 652
41 655
41 228
41 845
41 254
41 245
41 220
41 670
41 233
42 689
42 782
42 234
42 254
42 652
42 206
42 152
42 240
42 200
42 670
42 233
42 228
42 834
42 696
42 655
42 220
42 268
42 245
43 272
43 44
44 272
45 273
45 282
45 280
45 279
45 238
45 256
46 800
46 778
46 808
46 729
46 665
46 136
47 848
47 846
47 628
47 205
47 197
47 725
47 619
47 606
47 693
47 590
47 157
47 578
47 250
47 676
47 566
47 423
47 226
47 460
47 657
47 477
47 352
47 355
47 131
47 246
47 443
47 639
47 811
47 417
47 413
47 302
47 405
47 375
47 370
47 353
47 716
47 125
47 483
47 286
47 428
47 421
47 678
47 87
47 481
47 487
47 93
47 310
47 113
47 307
47 457
47 266
47 69
47 293
47 289
47 486
47 389
47 95
47 292
47 388
47 485
47 488
47 291
47 295
47 571
47 374
47 77
47 359
47 464
47 564
47 367
47 861
47 73
47 855
47 264
47 461
47 230
47 621
47 424
47 133
47 61
47 343
47 300
47 103
47 491
47 347
47 838
47 444
47 451
47 407
47 411
47 361
47 408
47 441
47 262
47 459
47 71
47 377
47 474
47 51
47 127
47 418
47 241
47 438
47 376
47 373
47 470
47 235
47 332
47 403
47 356
47 309
47 345
48 194
48 192
48 182
48 823
48 796
48 72
48 829
48 124
48 218
48 180
48 112
48 158
48 114
48 198
48 104
48 715
48 94
48 672
48 74
48 52
48 178
48 132
48 70
49 535
49 518
49 497
49 560
49 183
49 773
49 50
49 769
49 449
49 472
51 848
51 846
51 628
51 205
51 197
51 725
51 619
51 606
51 693
51 590
51 157
51 578
51 250
51 676
51 566
51 423
51 226
51 460
51 657
51 477
51 352
51 355
51 131
51 246
51 443
51 811
51 417
51 413
51 302
51 405
51 375
51 370
51 353
51 716
51 125
51 483
51 286
51 428
51 421
51 678
51 87
51 481
51 487
51 93
51 310
51 113
51 307
51 457
51 266
51 69
51 293
51 289
51 486
51 389
51 95
51 292
51 388
51 485
51 488
51 291
51 295
51 571
51 374
51 77
51 359
51 464
51 564
51 367
51 861
51 73
51 855
51 264
51 461
51 230
51 621
51 424
51 133
51 61
51 343
51 300
51 103
51 491
51 347
51 838
51 444
51 451
51 407
51 411
51 361
51 408
51 441
51 262
51 459
51 71
51 377
51 474
51 127
51 418
51 241
51 438
51 376
51 373
51 470
51 235
51 332
51 403
51 356
51 309
51 639
51 345
52 182
52 823
52 796
52 72
52 829
52 124
52 218
52 112
52 158
52 194
52 192
52 180
52 114
52 198
52 104
52 715
52 94
52 672
52 74
52 178
52 132
52 70
53 324
53 320
53 319
